"id","name","cost","ves","url","purposes","urlimage"
6,Alien Workshop Spectrum 8.0,16000.00,100,https://market.yandex.ru/product--skeitbord-alien-workshop-spectrum-8-0/1944428969?sku=101816994231&uniqueId=22394849&do-waremd5=jV376lyeTBuu3wCcDRVupw&cpc=jYL0_L6vyTRw3w78DqpTCpGNZ8t_jQiXQsi-Q5o6zMyPG1Tu1H9GW-6bqcrK1VT4FueTEH2u92ZQH1lT5VjpXm49htRhwyxzqBRh-kzmpgkmKeUKjy_IpNZq1KlnQLT68xbbhhmijXS875EohJf0652Fk6J8etCNS3aLD5NCRpo0JIGdC9UZPE3FjfvAwFhQ6bOjbcLCfqKOE1FJiNNLBlh1UNFTzhRp5Qjr2m_l4FsQHyJJxryH9GHShJ_dgG3rMLFh_qtQasOCsDsB8gUkIIcupxOQfGRV4xVoMOCyM3yr9lL06Dch0orJ1O3l8wBCrYkFP7iAzHPWAPjIVOXgw0h5OJfOCdhYLzwEULa3WkTwYCpcrJZh0HE9HCPHE2md1g7Xj8P_QaytuluFs-uZC1FaRme5t87dmCEZ3WsdGBBwsD6Uwe2FvDRfEHem6t8JJuqhX75y_HOmbfJ68BiN4WC57AjHrPOn_ctrfOujjKjb6QB6sV89TAqy8G9QQz3wUNGRJlyoWH_GU6sL292Jpw%2C%2C&nid=18071955,"1",images/scatesRecomendation/Alien Workshop Spectrum 8.0.png
7,Tech Team Spicy 41,4500.00,90,https://www.wildberries.ru/catalog/119296868/detail.aspx,"2",images/scatesRecomendation/Tech Team Spicy 41.png
9,TERROR XBHPIN MINT,21000.00,150,https://market.yandex.ru/product--serfskeit-terror-xbhpin-mint-82kh25-sm-skeitbord-kruizer/984943586?sku=103756675333&uniqueId=881269&do-waremd5=xW5-ogeIqexY4Rcc338Dzg&cpc=O4EQ9ZQlBS4iDHjTbWxteBc8WCcHIu8UP7wN4n0KIWP6N55BzxxoumTDJCjLdmYNQ73Uv0yVEgxPy4EGK0B8lqEWS0e6pk_P2OCyZJtalxFPO59Gl3mxGtyQ2zZk7kVy3Q4ouO_um-HIsRmhS7j1qn5BwwyyD5qGFG3wN4Blod4SnZIBo6mjCnggmZxRm9HFMnkz7MOGH7GOJpw1xtXwiSLis3p3P0ZQmtrKgtUUZo4IBh8_aNt-vs0YpZHCNU5F0qCXHVhEwQMnl7tgMTZv3oqUtlziC2IOrHP0dIqkoa2RSKaJXzeQ6Wn3z1jqXHCq8N_Dyau3vQ8025fAyzqIlMjhfJZ0XZOSqlkFUtV0h3MuZBGGBzCDc_Mw0lgf2KbbAXaY6d6ACsoq_SfD_G1tIIscmPSFDMuqrvL6CoTDfYGr-CNCbE_v5uq8w7uTkt-Fj67AlVBh4DSuwqUy00DpzlLyYep0kt6ix2DPingIX2GcS-YXF17mnF8rlbM85bM6SLcFLfCL1diGwicVI4IrtbyziB7XsZwN,"2",images/scatesRecomendation/TERROR XBHPIN MINT.jpg
14,Gravity Downhill Ryan Ricker 35,12000.00,100,https://powderlife.ru/longboards/gravity/gravity3,"3",images/scatesRecomendation/Gravity Downhill Ryan Ricker 35.jpg
15,Ridex 80.3 x 20.3,4000.00,90,К сожалению отсутсвует,"1",images/scatesRecomendation/Ridex 80.3 x 20.3.jpg
8,Tech Team Safari 31 brown ,8000.00,100,https://www.wildberries.ru/catalog/414689758/detail.aspx,"3",images/scatesRecomendation/Tech Team Safari 31 brown.png
5,Toy Machine Vice Dead Monster ,10000.00,100,https://proskateshop.ru/skejtbordy/dlja-trjukov/skejtbord-v-sbore-toy-machine-vice-dead-monster-83175-trjukovij-dlja-detej--podrostkov.html,"1",images/scatesRecomendation/Toy Machine Vice Dead Monster.jpg
10,Quiksilver RACER,15500.00,90,https://trial-sport.ru/goods/2734692.html,"3",images/scatesRecomendation/Quiksilver RACER.jpg
11,Madrid ETHEREAL TRANCE 40 DROP-THRU,12500.00,90,https://trial-sport.ru/goods/2556044.html,"3",images/scatesRecomendation/Madrid ETHEREAL TRANCE 40 DROP-THRU.jpg
12,Madrid BLUE STEEL DTF 36 TOP-MOUNT,12000.00,90,https://trial-sport.ru/goods/2556038.html,"3",images/scatesRecomendation/Madrid BLUE STEEL DTF 36 TOP-MOUNT.jpg
1,"700 - 31",4300.00,100,https://www.wildberries.ru/catalog/323141293/detail.aspx,"1",images/scatesRecomendation/700 - 31.png
2,TechTeam Liberty Грибы,6000.00,100,https://market.yandex.ru/product--skeitbord-liberty/115494785?sku=103080620744&uniqueId=115587912&do-waremd5=wK3MS2Dpy5E2yTEpYaA4Bg,"1",images/scatesRecomendation/TechTeam Liberty Грибы.png
3,Footwork 8 X 31.5 T-Rex,7500.00,90,https://www.kant.ru/catalog/product/1730719-skeytbord_footwork_8_x_31_5_t_rex/,"1",images/scatesRecomendation/Footwork 8 X 31.5 T-Rex.png
4,Юнион NuPogodi,7500.00,100,https://www.unionboards.ru/product/skejtbord-v-sbore-yunion-skejt-nupogodi-8-32?,"1",images/scatesRecomendation/Юнион NuPogodi.png
13,Tribe CIRCAETUS GALLICUS 39,7500.00,90,https://trial-sport.ru/goods/2736109.html: ,"3",images/scatesRecomendation/Tribe CIRCAETUS GALLICUS 39.jpg
